(-0.31027070086669767,0.663118960624632) (-0.3632712640026806,0.6458980337503156) (-0.4162718271386635,0.663118960624632) (-0.4490279765795854,0.7639320225002105) (-0.31027070086669783,0.8090169943749481) (-0.2775145514257759,0.763932022500211) (-0.36327126400268056,0.8262379212492648) stop 
(-0.3632712640026804,0.7360679774997899) (-0.22451398828979274,0.6909830056250524) (-0.3102707008666979,0.5729490168751576) stop stop stop stop stop 
(-0.3632712640026804,0.7360679774997899) (-0.3102707008666979,0.5729490168751576) (-0.41627182713866373,0.5729490168751578) stop stop stop stop stop 
(-0.31027070086669767,0.663118960624632) (-0.2775145514257759,0.763932022500211) (-0.17151342515380996,0.7639320225002106) (-0.2245139882897923,0.6008130618755784) (-0.13875727571288698,0.6631189606246319) stop stop stop 
(-0.31027070086669767,0.663118960624632) (-0.3632712640026806,0.6458980337503156) (-0.36327126400268095,0.5000000000000001) (-0.2245139882897924,0.5450849718747371) (-0.2245139882897923,0.6008130618755784) stop stop stop 
(-0.3102707008666979,0.5729490168751576) (-0.41627182713866373,0.5729490168751578) (-0.2775145514257751,0.4721359549995795) (-0.4490279765795855,0.47213595499957867) (-0.3632712640026799,0.4098300562505248) stop stop stop 
(-0.3632712640026804,0.7360679774997899) (-0.5020285397155684,0.6909830056250529) (-0.41627182713866373,0.5729490168751578) stop stop stop stop stop 
(-0.4162718271386635,0.663118960624632) (-0.4490279765795854,0.7639320225002105) (-0.5020285397155682,0.6008130618755777) (-0.5877852522924728,0.6631189606246315) stop stop stop stop 
(-0.3632712640026806,0.6458980337503156) (-0.36327126400268095,0.5000000000000001) (-0.4162718271386635,0.663118960624632) (-0.5020285397155683,0.5450849718747366) (-0.5020285397155682,0.6008130618755777) stop stop stop 
(-0.3632712640026804,0.7360679774997899) (-0.5020285397155684,0.6909830056250529) (-0.5347846891564904,0.7360679774997902) (-0.4490279765795854,0.8541019662496856) (-0.5020285397155683,0.8368810393753692) stop stop stop 
(-0.4490279765795854,0.7639320225002105) (-0.5877852522924729,0.809016994374948) (-0.5877852522924728,0.6631189606246315) stop stop stop stop stop 
(-0.5347846891564904,0.7360679774997902) (-0.5020285397155683,0.8368810393753692) (-0.6407858154284555,0.7360679774997892) stop stop stop stop stop 
(-0.3632712640026804,0.7360679774997899) (-0.22451398828979283,0.8368810393753684) (-0.3102707008666976,0.8991869381244224) stop stop stop stop stop 
